Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771834596	0	26473	45644	0	284020	33502	307200	144	0	0	0	0	0	0	2	5	5
1771834598	2	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	10	5	5
1771834600	5	26454	45644	0	284020	33502	307200	144	0	0	0	0	0	0	18	5	5
1771834602	7	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	26	5	5
1771834604	9	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	34	5	5
1771834606	11	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	42	5	5
1771834608	13	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	50	5	5
1771834610	15	26469	45644	0	284020	33502	307200	144	0	0	0	0	0	0	58	5	5
1771834612	17	26469	45644	0	284020	33502	307200	144	0	90	1	90	1	0	66	5	5
1771834614	19	26469	45644	0	284020	33502	307200	144	0	90	1	90	1	0	74	5	5
1771834616	21	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	82	5	5
1771834618	23	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	91	5	5
1771834620	25	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	99	5	5
1771834622	27	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	107	5	5
1771834624	29	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	115	5	5
1771834626	31	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	123	5	5
1771834628	33	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	131	5	5
1771834630	35	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	139	5	5
1771834632	37	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	147	5	5
1771834634	39	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	155	5	5
1771834636	41	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	163	5	5
1771834638	43	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	171	5	5
1771834640	44	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	178	5	5
1771834642	46	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	186	5	5
1771834644	49	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	194	5	5
1771834646	51	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	202	5	5
1771834648	53	26454	45644	0	284020	33502	307200	144	0	174	3	174	3	0	210	5	5
1771834650	55	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	218	5	5
1771834652	57	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	227	5	5
1771834654	59	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	235	5	5
1771834656	61	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	243	5	5
1771834658	63	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	251	5	5
1771834660	65	26454	45644	0	284020	33502	307200	144	0	174	3	174	3	0	259	5	5
1771834662	67	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	267	5	5
1771834664	68	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	274	5	5
1771834666	71	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	282	5	5
1771834668	73	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	290	5	5
1771834670	75	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	298	5	5
1771834672	77	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	306	5	5
1771834674	79	26469	45644	0	284020	33502	307200	144	0	174	3	174	3	0	314	5	5
1771834676	81	26469	45644	0	284020	33502	307200	144	0	264	4	264	4	0	322	5	5
1771834678	83	26469	45644	0	284020	33502	307200	144	0	264	4	264	4	0	330	5	5
1771834680	85	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	338	5	5
1771834682	87	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	346	5	5
1771834684	89	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	354	5	5
1771834686	91	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	363	5	5
1771834688	93	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	371	5	5
1771834690	95	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	379	5	5
1771834692	97	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	387	5	5
1771834694	99	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	395	5	5
1771834696	101	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	403	5	5
1771834698	103	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	411	5	5
1771834700	105	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	419	5	5
1771834702	106	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	426	5	5
1771834704	108	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	434	5	5
1771834706	111	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	442	5	5
1771834708	113	26454	45644	0	284020	33502	307200	144	0	348	6	348	6	0	450	5	5
1771834710	115	26454	45644	0	284020	33502	307200	144	0	348	6	348	6	0	458	5	5
1771834712	117	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	466	5	5
1771834714	119	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	474	5	5
1771834716	121	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	482	5	5
1771834718	123	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	490	5	5
1771834720	125	26454	45644	0	284020	33502	307200	144	0	348	6	348	6	0	498	5	5
1771834722	127	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	507	5	5
1771834724	129	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	515	5	5
1771834726	131	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	523	5	5
1771834728	133	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	531	5	5
1771834730	135	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	539	5	5
1771834732	137	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	547	5	5
1771834734	139	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	555	5	5
1771834736	141	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	563	5	5
1771834738	143	26469	45644	0	284020	33502	307200	144	0	348	6	348	6	0	571	5	5
1771834740	145	26469	45644	0	284020	33502	307200	144	0	438	7	438	7	0	579	5	5
1771834742	147	26469	45644	0	284020	33502	307200	144	0	438	7	438	7	0	587	5	5
1771834744	149	26469	45644	0	284020	33502	307200	144	0	480	8	480	8	0	595	5	5
1771834746	151	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	603	5	5
1771834748	152	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	610	5	5
1771834750	155	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	618	5	5
1771834752	157	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	626	5	5
1771834754	159	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	634	5	5
1771834756	161	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	642	5	5
1771834758	163	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	650	5	5
1771834760	165	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	658	5	5
1771834762	167	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	666	5	5
1771834764	169	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	674	5	5
1771834766	171	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	682	5	5
1771834768	173	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	690	5	5
1771834770	175	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	698	5	5
1771834772	177	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	707	5	5
1771834774	179	26454	45644	0	284020	33502	307200	144	0	522	9	522	9	0	715	5	5
1771834776	181	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	723	5	5
1771834778	183	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	731	5	5
1771834780	185	26454	45644	0	284020	33502	307200	144	0	522	9	522	9	0	739	5	5
1771834782	187	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	747	5	5
1771834784	189	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	755	5	5
1771834786	191	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	763	5	5
1771834788	193	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	771	5	5
1771834790	195	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	779	5	5
1771834792	197	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	787	5	5
1771834794	198	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	794	5	5
1771834796	200	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	802	5	5
1771834798	202	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	810	5	5
1771834800	205	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	818	5	5
1771834802	207	26469	45644	0	284020	33502	307200	144	0	522	9	522	9	0	826	5	5
1771834804	209	26469	45644	0	284020	33502	307200	144	0	612	10	612	10	0	834	5	5
1771834806	211	26469	45644	0	284020	33502	307200	144	0	612	10	612	10	0	842	5	5
1771834808	213	26469	45644	0	284020	33502	307200	144	0	612	10	612	10	0	850	5	5
1771834810	215	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	858	5	5
1771834812	217	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	866	5	5
1771834814	219	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	874	5	5
1771834816	221	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	882	5	5
1771834818	223	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	891	5	5
1771834820	225	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	899	5	5
1771834822	227	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	907	5	5
1771834824	229	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	915	5	5
1771834826	231	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	923	5	5
1771834828	233	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	931	5	5
1771834830	235	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	939	5	5
1771834832	237	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	947	5	5
1771834834	239	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	955	5	5
1771834836	241	26454	45644	0	284020	33502	307200	144	0	696	12	696	12	0	963	5	5
1771834838	242	26454	45644	0	284020	33502	307200	144	0	696	12	696	12	0	970	5	5
1771834840	245	26454	45644	0	284020	33502	307200	144	0	696	12	696	12	0	978	5	5
1771834842	247	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	986	5	5
1771834844	249	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	994	5	5
1771834846	251	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	1002	5	5
1771834848	253	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	1010	5	5
1771834850	255	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	1018	5	5
1771834852	257	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	1026	5	5
1771834854	259	26469	45644	0	284020	33502	307200	144	0	696	12	696	12	0	1035	5	5
