Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771837898	1	35332	45300	0	186768	34550	204800	134	0	0	0	0	0	0	0	3	3
1771837900	3	37481	47648	0	188816	34550	204800	134	0	0	0	0	0	0	1	3	3
1771837902	5	29094	39256	0	188816	34550	204800	134	0	0	0	0	0	1	3	3	3
1771837904	7	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	1	5	3	3
1771837906	9	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	2	6	3	3
1771837908	11	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	2	8	3	3
1771837910	13	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	2	9	3	3
1771837912	15	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	3	11	3	3
1771837914	17	27642	37804	0	188816	34550	204800	134	0	0	0	0	0	3	12	3	3
1771837916	19	37486	47648	0	188816	34550	204800	134	0	0	0	0	0	4	14	3	3
1771837918	21	37486	47648	0	188816	34550	204800	134	0	0	0	90	1	4	16	3	3
1771837920	23	37486	47648	0	188816	34550	204800	134	0	90	1	90	1	5	17	3	3
1771837922	25	37486	47648	0	188816	34550	204800	134	0	90	1	90	1	5	18	3	3
1771837924	27	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	5	20	3	3
1771837926	29	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	6	22	3	3
1771837928	31	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	6	23	3	3
1771837930	33	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	7	25	3	3
1771837932	35	23718	33880	0	188816	34550	204800	134	0	174	3	174	3	7	26	3	3
1771837934	37	31342	41504	0	188816	34550	204800	134	0	174	3	174	3	8	28	3	3
1771837936	39	23500	33672	0	188816	34550	204800	134	0	174	3	174	3	8	29	3	3
1771837938	41	37476	47648	0	188816	34550	204800	134	0	174	3	174	3	8	31	3	3
1771837940	43	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	9	33	3	3
1771837942	45	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	9	34	3	3
1771837944	47	21926	32088	0	188816	34550	204800	134	0	174	3	174	3	10	36	3	3
1771837946	49	29294	39456	0	188816	34550	204800	134	0	174	3	174	3	10	37	3	3
1771837948	51	35438	45600	0	188816	34550	204800	134	0	174	3	174	3	11	39	3	3
1771837950	53	37486	47648	0	188816	34550	204800	134	0	174	3	174	3	11	41	3	3
1771837952	55	37486	47648	0	188816	34550	204800	134	0	264	4	264	4	12	42	3	3
1771837954	57	35162	45324	2324	188816	34550	204800	134	0	264	4	264	4	12	44	3	3
1771837956	58	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	12	45	3	3
1771837958	60	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	13	47	3	3
1771837960	63	27004	37176	0	188816	34550	204800	134	0	306	5	306	5	13	48	3	3
1771837962	65	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	14	50	3	3
1771837964	67	28750	38912	8736	188816	34550	204800	134	0	306	5	306	5	14	51	3	3
1771837966	69	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	15	53	3	3
1771837968	71	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	15	54	3	3
1771837970	73	34362	44524	0	188816	34550	204800	134	0	306	5	306	5	16	56	3	3
1771837972	75	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	16	58	3	3
1771837974	77	37486	47648	0	188816	34550	204800	134	0	306	5	306	5	16	59	3	3
1771837976	79	21370	31532	0	188816	34550	204800	134	0	306	5	306	5	17	61	3	3
1771837978	81	21092	31264	0	172432	34550	204800	134	0	306	5	306	5	17	62	3	3
1771837980	83	37476	47648	0	188816	34550	204800	134	0	306	5	306	5	18	64	3	3
1771837982	85	23246	33408	0	188816	34550	204800	134	0	306	5	306	5	18	65	3	3
1771837984	87	37486	47648	0	188816	34550	204800	134	0	396	6	396	6	19	67	3	3
1771837986	89	37486	47648	0	188816	34550	204800	134	0	396	6	396	6	19	68	3	3
1771837988	91	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	20	70	3	3
1771837990	93	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	20	71	3	3
1771837992	95	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	21	73	3	3
1771837994	97	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	21	74	3	3
1771837996	99	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	21	76	3	3
1771837998	101	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	22	78	3	3
1771838000	103	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	22	79	3	3
1771838002	105	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	23	81	3	3
1771838004	106	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	23	82	3	3
1771838006	108	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	24	84	3	3
1771838008	110	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	24	85	3	3
1771838010	113	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	25	87	3	3
1771838012	115	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	25	88	3	3
1771838014	117	37486	47648	0	188816	34550	204800	134	0	438	7	438	7	26	90	3	3
1771838016	119	37486	47648	0	188816	34550	204800	134	0	528	8	528	8	26	91	3	3
1771838018	121	37476	47648	0	188816	34550	204800	134	0	528	8	528	8	27	93	3	3
1771838020	123	35128	45300	0	188816	34550	204800	134	0	570	9	570	9	27	94	3	3
1771838022	125	35438	45600	0	188816	34550	204800	134	0	570	9	570	9	27	96	3	3
1771838024	127	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	28	98	3	3
1771838026	129	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	28	99	3	3
1771838028	131	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	29	101	3	3
1771838030	133	27246	37408	0	188816	34550	204800	134	0	570	9	570	9	29	102	3	3
1771838032	135	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	30	104	3	3
1771838034	137	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	30	106	3	3
1771838036	138	28306	38468	0	188816	34550	204800	134	0	570	9	570	9	30	107	3	3
1771838038	140	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	31	108	3	3
1771838040	143	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	31	110	3	3
1771838042	145	21102	31264	0	188816	34550	204800	134	0	570	9	570	9	32	112	3	3
1771838044	147	37486	47648	0	188816	34550	204800	134	0	570	9	570	9	32	113	3	3
1771838046	149	35914	46076	0	188816	34550	204800	134	0	570	9	570	9	33	115	3	3
1771838048	151	24294	34456	0	188816	34550	204800	134	0	660	10	660	10	33	116	3	3
1771838050	153	37486	47648	0	188816	34550	204800	134	0	660	10	660	10	33	118	3	3
1771838052	155	37459	47648	0	188816	34550	204800	134	0	660	10	660	10	34	119	3	3
1771838054	157	37459	47648	0	188816	34550	204800	134	0	702	11	702	11	34	121	3	3
1771838056	159	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	35	123	3	3
1771838058	161	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	35	124	3	3
1771838060	163	37467	47648	0	188816	34550	204800	134	0	702	11	702	11	36	126	3	3
1771838062	165	37467	47648	0	188816	34550	204800	134	0	702	11	702	11	36	127	3	3
1771838064	167	35738	45908	0	188816	34550	204800	134	0	702	11	702	11	37	129	3	3
1771838066	169	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	37	130	3	3
1771838068	171	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	38	132	3	3
1771838070	173	32614	42784	0	188816	34550	204800	134	0	702	11	702	11	38	134	3	3
1771838072	175	31710	41880	0	188816	34550	204800	134	0	702	11	702	11	38	135	3	3
1771838074	177	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	39	137	3	3
1771838076	179	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	39	138	3	3
1771838078	181	37478	47648	0	188816	34550	204800	134	0	702	11	702	11	40	140	3	3
1771838080	183	37467	47648	0	188816	34550	204800	134	0	792	12	792	12	40	141	3	3
1771838082	185	29970	40140	0	188816	34550	204800	134	0	792	12	792	12	40	143	3	3
1771838084	187	37478	47648	0	188816	34550	204800	134	0	792	12	792	12	41	144	3	3
1771838086	189	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	41	146	3	3
1771838088	191	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	42	147	3	3
1771838090	193	26858	37028	0	188816	34550	204800	134	0	834	13	834	13	42	149	3	3
1771838092	195	21094	31264	0	172432	34550	204800	134	0	834	13	834	13	43	151	3	3
1771838094	197	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	43	152	3	3
1771838096	199	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	44	154	3	3
1771838098	201	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	44	155	3	3
1771838100	203	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	44	157	3	3
1771838102	205	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	45	158	3	3
1771838104	207	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	45	160	3	3
1771838106	209	37478	47648	0	188816	34550	204800	134	0	834	13	834	13	46	161	3	3
1771838108	211	37467	47648	0	188816	34550	204800	134	0	834	13	834	13	46	163	3	3
1771838110	213	21083	31264	0	188816	34550	204800	134	0	834	13	834	13	47	164	3	3
1771838112	215	37478	47648	0	188816	34550	204800	134	0	924	14	924	14	47	166	3	3
1771838114	217	28262	38432	0	188816	34550	204800	134	0	924	14	924	14	48	168	3	3
1771838116	219	37478	47648	0	188816	34550	204800	134	0	924	14	924	14	48	169	3	3
1771838118	221	37478	47648	0	188816	34550	204800	134	0	966	15	966	15	49	171	3	3
1771838120	223	37478	47648	0	188816	34550	204800	134	0	966	15	966	15	49	172	3	3
1771838122	224	27722	37892	0	188816	34550	204800	134	0	966	15	966	15	50	174	3	3
1771838124	226	37478	47648	0	188816	34550	204800	134	0	966	15	966	15	50	175	3	3
1771838126	229	26310	36480	0	188816	34550	204800	134	0	966	15	966	15	50	177	3	3
